JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ, IGNORAR1, IGNORAR2, IGNORAR3, IGNORAR 4, IGNORAR 5, IGNORAR 6,            
2460824.500000000, A.D. 2025-May-29 00:00:00.0000, -3.871496459259168E-01, -9.366417977081986E-01,  5.527110105611362E-05,  1.562822427334700E-02, -6.636443112926095E-03,  3.852949682707158E-07,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460825.500000000, A.D. 2025-May-30 00:00:00.0000, -3.714672790546564E-01, -9.431439455939875E-01,  5.572503109502155E-05,  1.573568649214449E-02, -6.367587950027460E-03,  5.199420034745059E-07,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460826.500000000, A.D. 2025-May-31 00:00:00.0000, -3.556799116817557E-01, -9.493764730628254E-01,  5.630437538250102E-05,  1.583823318969168E-02, -6.097230072398509E-03,  6.348630555849988E-07,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460827.500000000, A.D. 2025-Jun-01 00:00:00.0000, -3.397924328748254E-01, -9.553379554169846E-01,  5.698613246379235E-05,  1.593591950025882E-02, -5.825520218776186E-03,  7.240025801501715E-07,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460828.500000000, A.D. 2025-Jun-02 00:00:00.0000, -3.238096720639945E-01, -9.610271034245108E-01,  5.774265777419735E-05,  1.602880756759647E-02, -5.552579345566089E-03,  7.840443712911989E-07,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460829.500000000, A.D. 2025-Jun-03 00:00:00.0000, -3.077363971038801E-01, -9.664427363764638E-01,  5.854410586982197E-05,  1.611695731494131E-02, -5.278504728068764E-03,  8.137880125651363E-07,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460830.500000000, A.D. 2025-Jun-04 00:00:00.0000, -2.915773189499505E-01, -9.715837619567376E-01,  5.936020922283371E-05,  1.620042227466178E-02, -5.003376984151824E-03,  8.134883810621228E-07,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460831.500000000, A.D. 2025-Jun-05 00:00:00.0000, -2.753370985721027E-01, -9.764491626191264E-01,  6.016145936760950E-05,  1.627924898901783E-02, -4.727265831529101E-03,  7.843388852677892E-07,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460832.500000000, A.D. 2025-Jun-06 00:00:00.0000, -2.590203534059011E-01, -9.810379867163410E-01,  6.091986957697646E-05,  1.635347827149248E-02, -4.450233792204934E-03,  7.281526251497336E-07,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460833.500000000, A.D. 2025-Jun-07 00:00:00.0000, -2.426316621902843E-01, -9.853493423146479E-01,  6.160951165624449E-05,  1.642314699039518E-02, -4.172337913859077E-03,  6.472229116844579E-07,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
